DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
2748,114.5450274,21.70219153,99.999,9.999,22.153,0.096,20.745,0.038,19.91,0.031,19.26,0.048
1703,114.5450949,21.5760777,99.999,9.999,23.196,0.232,21.48,0.068,20.622,0.04,20.118,0.098
2588,114.545147,21.68022899,99.999,9.999,21.173,0.038,19.825,0.023,19.239,0.016,18.937,0.054
2279,114.5452631,21.63958644,99.999,9.999,21.703,0.06,20.167,0.023,19.559,0.021,19.182,0.051
382,114.5455804,21.46357049,18.529,0.017,17.267,0.008,16.799,0.01,16.644,0.015,16.576,0.015
584,114.5456699,21.48400848,99.999,9.999,99.999,9.999,22.262,0.134,21.278,0.082,20.765,0.2
3055,114.5457242,21.7458786,19.431,0.026,17.779,0.008,17.105,0.008,16.89,0.008,16.817,0.018
1922,114.5457661,21.59877788,22.655,0.3,22.016,0.099,20.791,0.086,19.838,0.067,19.188,0.065
2780,114.5457975,21.70871259,18.337,0.014,17.114,0.007,16.681,0.01,16.551,0.009,16.503,0.016
556,114.5458455,21.481722,16.082,0.008,14.968,0.01,14.756,0.011,14.709,0.005,14.736,0.017
3052,114.5458828,21.7456753,99.999,9.999,20.179,0.047,19.065,0.026,18.562,0.021,18.163,0.044
1016,114.5459027,21.52117007,99.999,9.999,23.218,0.261,21.949,0.104,20.99,0.082,20.55,0.202
2679,114.5460708,21.6937083,19.62,0.033,18.029,0.007,17.455,0.011,17.222,0.018,17.164,0.021
300,114.5461066,21.45665859,99.999,9.999,22.728,0.166,21.819,0.102,21.487,0.069,20.721,0.206
1829,114.5465191,21.58814569,99.999,9.999,21.858,0.066,20.334,0.028,19.621,0.031,19.268,0.054
664,114.5465471,21.49059088,99.999,9.999,23.339,0.257,21.81,0.102,20.828,0.06,20.396,0.137
1958,114.5465883,21.60411628,99.999,9.999,22.787,0.179,21.366,0.065,20.275,0.037,19.586,0.082
1825,114.5467038,21.58791546,99.999,9.999,22.264,0.085,21.129,0.056,20.233,0.045,19.723,0.074
2988,114.5467246,21.73623982,99.999,9.999,20.932,0.043,19.447,0.016,18.191,0.013,17.492,0.02
2333,114.5468614,21.65008675,99.999,9.999,22.261,0.103,20.628,0.036,19.414,0.023,18.636,0.035
2150,114.5469253,21.6268489,99.999,9.999,23.038,0.187,21.522,0.082,20.537,0.038,19.974,0.083
3013,114.5469723,21.74003979,99.999,9.999,21.593,0.057,20.198,0.026,19.696,0.026,19.401,0.063
1494,114.5470369,21.55841803,99.999,9.999,23.39,0.28,22.052,0.119,20.937,0.064,20.339,0.152
1888,114.5471267,21.59556204,16.791,0.007,15.69,0.016,15.446,0.004,15.393,0.029,15.379,0.01
1548,114.5471281,21.56322009,99.999,9.999,23.04,0.2,21.358,0.064,20.472,0.064,20.058,0.123
