DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
4904,250.2682256,36.4728715,20.052,0.034,19.228,0.014,18.957,0.014,18.86,0.016,18.84,0.064
6191,250.2682873,36.49067444,20.438,0.052,19.514,0.016,19.202,0.021,19.062,0.024,18.978,0.07
3975,250.2683219,36.45744636,20.921,0.091,20.135,0.022,19.734,0.027,19.633,0.025,19.644,0.125
420,250.2683364,36.30693736,20.623,0.082,19.735,0.016,19.436,0.019,19.317,0.026,19.323,0.079
15583,250.2683626,36.55727305,99.999,9.999,23.003,0.171,22.136,0.097,21.616,0.099,99.999,9.999
2137,250.2684312,36.40962611,99.999,9.999,22.629,0.123,22.111,0.091,22.178,0.185,99.999,9.999
8117,250.2684466,36.50990444,20.622,0.074,19.522,0.014,19.213,0.017,19.087,0.02,19.124,0.072
7048,250.2684593,36.49972493,99.999,9.999,22.659,0.129,21.847,0.076,21.379,0.113,99.999,9.999
5190,250.2684812,36.47723923,20.283,0.055,19.386,0.016,19.081,0.014,18.986,0.018,18.886,0.069
854,250.2684845,36.34720181,99.999,9.999,22.292,0.097,20.975,0.049,20.256,0.039,20.117,0.146
2680,250.2684947,36.42575764,99.999,9.999,22.018,0.075,21.382,0.065,21.122,0.08,99.999,9.999
4314,250.2685023,36.46353842,99.999,9.999,21.752,0.056,21.09,0.048,20.928,0.071,20.556,0.189
1319,250.2685065,36.3745575,99.999,9.999,22.85,0.142,22.118,0.1,21.788,0.132,99.999,9.999
2483,250.2685441,36.42023492,21.849,0.19,21.025,0.045,20.551,0.028,20.364,0.048,20.173,0.154
12465,250.2685456,36.54087749,21.255,0.13,20.264,0.026,19.982,0.033,19.762,0.041,19.648,0.085
2928,250.2685625,36.43264682,21.37,0.16,20.258,0.036,19.836,0.037,19.699,0.044,19.842,0.171
1444,250.26858,36.38027339,20.454,0.054,19.616,0.016,19.307,0.019,19.214,0.043,19.167,0.06
3928,250.2685903,36.45642506,99.999,9.999,22.707,0.115,21.83,0.098,21.688,0.108,99.999,9.999
2223,250.2686204,36.41231909,19.927,0.037,19.062,0.013,18.78,0.014,18.693,0.035,18.694,0.048
1078,250.2686338,36.36121273,21.101,0.091,20.025,0.019,19.701,0.024,19.566,0.038,19.611,0.116
10356,250.2686531,36.52748581,99.999,9.999,21.952,0.065,21.219,0.061,20.98,0.056,99.999,9.999
3604,250.2686821,36.44887788,99.999,9.999,21.57,0.049,21.015,0.052,20.834,0.059,20.306,0.178
1014,250.2686899,36.35707644,99.999,9.999,22.346,0.112,21.507,0.075,21.31,0.084,99.999,9.999
1152,250.268773,36.36513372,21.949,0.192,21.043,0.036,20.487,0.029,20.254,0.051,20.088,0.115
3216,250.2687819,36.4395197,99.999,9.999,23.267,0.189,22.206,0.111,21.772,0.136,99.999,9.999
5660,250.2688143,36.4835388,21.695,0.134,20.589,0.028,20.185,0.024,19.967,0.027,19.883,0.156
5693,250.2688172,36.48403181,20.068,0.045,19.209,0.013,18.92,0.021,18.842,0.016,18.79,0.063
2943,250.2688751,36.43282997,18.942,0.019,17.849,0.009,17.42,0.011,17.229,0.026,17.154,0.023
1732,250.2690106,36.39405592,99.999,9.999,22.749,0.147,21.973,0.086,21.466,0.099,99.999,9.999
5423,250.2690153,36.48001406,99.999,9.999,21.983,0.085,21.366,0.067,21.043,0.076,20.878,0.283
4553,250.269046,36.46687576,99.999,9.999,21.352,0.055,20.718,0.039,20.552,0.038,20.101,0.143
1575,250.2690502,36.38659377,99.999,9.999,22.153,0.077,21.347,0.053,21.08,0.116,20.574,0.239
3336,250.269053,36.44232281,21.149,0.104,20.238,0.032,19.848,0.042,19.742,0.048,19.662,0.136
5282,250.2690717,36.47801032,20.855,0.076,19.954,0.02,19.654,0.019,19.492,0.022,19.567,0.111
6550,250.2691168,36.49373614,99.999,9.999,22.256,0.104,21.558,0.063,21.279,0.071,20.816,0.341
6843,250.2691184,36.49696161,99.999,9.999,22.144,0.126,21.474,0.123,21.26,0.168,99.999,9.999
2548,250.2691277,36.42189481,21.776,0.17,20.638,0.036,20.281,0.027,20.081,0.046,20.008,0.156
11010,250.2691374,36.53140009,21.991,0.23,20.992,0.035,20.545,0.04,20.359,0.041,20.316,0.2
4209,250.2691732,36.46091648,22.256,0.279,21.139,0.033,20.581,0.039,20.46,0.053,20.295,0.206
1879,250.2691968,36.39982819,99.999,9.999,22.211,0.09,21.461,0.066,21.355,0.131,21.084,0.38
5006,250.2692491,36.47359889,20.837,0.067,19.873,0.019,19.531,0.023,19.425,0.024,19.379,0.068
3211,250.269271,36.43895298,99.999,9.999,21.495,0.046,20.946,0.045,20.719,0.058,20.448,0.27
7895,250.2693058,36.50704113,19.649,0.033,18.644,0.011,18.401,0.013,18.311,0.014,18.281,0.044
5432,250.2693241,36.47976554,21.799,0.184,20.682,0.033,20.216,0.025,20.072,0.031,19.863,0.125
3248,250.2693672,36.43991284,99.999,9.999,22.607,0.105,21.801,0.082,21.359,0.087,20.632,0.245
3665,250.269377,36.44961433,22.126,0.241,21.24,0.041,20.724,0.045,20.493,0.047,20.304,0.229
1306,250.2693822,36.37295506,22.63,0.36,21.483,0.052,20.875,0.046,20.666,0.056,20.44,0.197
2606,250.2693889,36.42318521,21.879,0.184,20.37,0.026,19.965,0.029,19.87,0.036,19.895,0.152
2085,250.2694063,36.40737748,21.21,0.118,20.1,0.024,19.735,0.024,19.651,0.03,19.583,0.089
9947,250.2694832,36.52368291,99.999,9.999,21.994,0.078,20.44,0.029,19.44,0.024,18.899,0.055
8020,250.2694867,36.50805523,22.528,0.375,21.307,0.038,20.782,0.04,20.562,0.044,20.565,0.273
5295,250.2694904,36.47776788,99.999,9.999,21.334,0.051,20.688,0.044,20.581,0.051,20.268,0.207
2349,250.2694945,36.41503169,99.999,9.999,22.448,0.099,21.59,0.087,21.289,0.083,21.079,0.336
1598,250.269538,36.38785747,21.777,0.189,20.582,0.026,20.127,0.03,19.987,0.047,20.082,0.131
11704,250.2695653,36.53539166,99.999,9.999,22.236,0.089,21.447,0.06,21.026,0.075,20.614,0.218
1993,250.2695693,36.40384504,99.999,9.999,21.549,0.058,20.895,0.04,20.694,0.049,20.438,0.211
2851,250.2696113,36.42958091,99.999,9.999,22.908,0.124,21.992,0.093,21.598,0.119,99.999,9.999
4316,250.2696194,36.46242026,99.999,9.999,21.474,0.058,20.761,0.046,20.432,0.047,19.969,0.126
4406,250.2696477,36.46391136,99.999,9.999,21.211,0.041,20.638,0.037,20.473,0.04,20.485,0.237
1698,250.2696509,36.39185838,99.999,9.999,22.183,0.091,21.407,0.095,21.197,0.069,20.404,0.218
2570,250.2696627,36.4217179,99.999,9.999,21.367,0.054,20.804,0.04,20.55,0.054,20.43,0.235
225,250.2696713,36.28257696,99.999,9.999,22.805,0.152,21.775,0.085,21.525,0.11,99.999,9.999
4267,250.2696782,36.46142487,20.422,0.051,19.515,0.016,19.211,0.018,19.108,0.016,19.138,0.083
366,250.2696788,36.29978002,17.623,0.029,16.249,0.006,15.71,0.015,15.462,0.012,15.363,0.013
2598,250.2697107,36.42268113,20.24,0.042,19.38,0.016,19.085,0.018,19.001,0.03,19.065,0.074
6008,250.269722,36.48665722,21.989,0.214,20.9,0.034,20.452,0.032,20.275,0.038,20.155,0.165
1016,250.2697477,36.3560957,99.999,9.999,22.098,0.08,21.366,0.057,21.007,0.072,20.668,0.259
2047,250.2698102,36.40531546,99.999,9.999,22.988,0.146,21.982,0.1,21.779,0.14,21.19,0.399
7608,250.2698353,36.50376462,19.911,0.039,18.94,0.012,18.669,0.015,18.562,0.018,18.729,0.053
590,250.2699215,36.32311909,99.999,9.999,21.58,0.042,20.944,0.038,20.675,0.062,20.475,0.214
16728,250.2699427,36.56070428,17.515,0.01,16.407,0.013,16.059,0.016,15.948,0.031,15.925,0.025
7542,250.2699743,36.5030903,21.891,0.225,20.822,0.037,20.377,0.033,20.257,0.036,20.244,0.167
13062,250.269985,36.5426416,20.925,0.102,19.909,0.02,19.605,0.023,19.505,0.024,19.36,0.086
2641,250.2700755,36.42340535,20.785,0.084,20.033,0.023,19.654,0.039,19.505,0.05,19.674,0.104
6310,250.2700795,36.49011313,20.304,0.06,19.417,0.014,19.118,0.014,19.013,0.022,18.937,0.051
11247,250.2701189,36.53193775,22.462,0.353,21.067,0.039,20.597,0.032,20.392,0.039,20.15,0.141
8049,250.2701279,36.50761077,20.647,0.069,19.71,0.015,19.394,0.023,19.236,0.024,19.207,0.076
