DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
6745,290.364558,37.89680465,99.999,9.999,22.533,0.115,21.208,0.057,20.595,0.044,20.313,0.217
10348,290.3647302,38.00207633,21.698,0.189,20.138,0.019,19.445,0.017,19.159,0.017,19.013,0.073
5231,290.3647573,37.85793841,99.999,9.999,22.897,0.169,21.445,0.06,20.414,0.059,19.635,0.097
3864,290.3648769,37.82601578,20.884,0.077,19.31,0.012,18.714,0.013,18.535,0.013,18.416,0.043
8655,290.3648789,37.95068743,99.999,9.999,22.159,0.092,20.96,0.043,20.631,0.068,20.085,0.16
5070,290.3648831,37.8539355,99.999,9.999,20.824,0.034,20.071,0.022,19.773,0.033,19.847,0.132
3969,290.3648866,37.82846497,22.233,0.294,20.893,0.036,20.476,0.033,20.404,0.044,20.79,0.359
4429,290.3648872,37.83871703,99.999,9.999,23.505,0.289,22.017,0.106,20.967,0.077,20.882,0.336
9526,290.3649873,37.97741828,18.642,0.024,17.338,0.011,16.753,0.011,16.535,0.006,16.397,0.012
3019,290.3650292,37.80850476,99.999,9.999,20.367,0.021,19.147,0.016,18.705,0.015,18.518,0.044
5135,290.3650677,37.85539337,20.493,0.062,18.665,0.011,17.925,0.021,17.737,0.019,17.637,0.033
3344,290.36508,37.81505942,20.619,0.075,19.132,0.011,18.458,0.012,18.26,0.015,18.154,0.031
6883,290.3651484,37.90058484,22.472,0.355,20.387,0.026,19.546,0.018,19.249,0.021,19.1,0.077
7496,290.3651531,37.91747662,21.322,0.146,19.653,0.018,18.995,0.015,18.727,0.02,18.604,0.04
3437,290.3651565,37.81692389,99.999,9.999,20.937,0.029,19.931,0.027,19.666,0.029,19.433,0.097
7012,290.3652247,37.90405851,21.21,0.13,19.534,0.015,18.822,0.014,18.609,0.016,18.427,0.043
3758,290.3652288,37.82348859,20.932,0.098,19.437,0.013,18.787,0.011,18.584,0.015,18.464,0.042
4251,290.3652536,37.83480342,99.999,9.999,22.262,0.096,20.852,0.043,20.218,0.048,19.815,0.125
2944,290.3654083,37.80689618,18.901,0.021,17.439,0.006,16.864,0.008,16.695,0.008,16.644,0.018
10266,290.3656001,37.99919864,99.999,9.999,20.577,0.029,19.886,0.024,19.676,0.025,19.621,0.1
1342,290.3656724,37.77544579,17.616,0.012,16.354,0.004,15.906,0.009,15.762,0.009,15.692,0.013
1052,290.3657077,37.77025305,22.154,0.255,20.105,0.019,19.132,0.015,18.823,0.014,18.591,0.049
